feature_id,feature_index,module,tool_id,selected,effect_size,non_null_pass,non_null_fail,mean_pass,std_pass,mean_fail,std_fail
F001,0,lithography,lithography-tool-01,false,0.09208871,1457,104,3014.94731640,72.43693798,3007.52625000,87.98361446
F002,1,lithography,lithography-tool-02,false,0.01111455,1457,103,2495.90611531,81.00566324,2495.05970874,70.96932125
F003,2,lithography,lithography-tool-03,false,0.00373217,1449,104,2200.55488558,29.38180055,2200.44187692,31.15158837
F004,3,lithography,lithography-tool-04,false,0.10947195,1449,104,1399.29029199,447.83033712,1355.78143462,339.66134540
F005,4,lithography,lithography-tool-05,false,0.07520453,1449,104,4.40469793,58.31854083,1.30340481,0.33476853
F006,5,lithography,lithography-tool-06,false,,1449,104,100.00000000,0.00000000,100.00000000,0.00000000
F007,6,lithography,lithography-tool-07,false,0.07129512,1449,104,101.08577322,6.31529964,101.49097212,4.97183278
F008,7,lithography,lithography-tool-08,false,0.06979083,1454,104,0.12179037,0.00925869,0.12225673,0.00189248
F009,8,lithography,lithography-tool-01,false,0.12296043,1461,104,1.46230945,0.07475757,1.47061923,0.05954562
F010,9,lithography,lithography-tool-02,false,0.13095237,1461,104,-0.00071526,0.01520158,-0.00260769,0.01365982
F011,10,lithography,lithography-tool-03,false,0.13083469,1461,104,0.00006229,0.00924609,0.00131827,0.00994088
F012,11,lithography,lithography-tool-04,false,0.14436243,1461,104,0.96446112,0.01260817,0.96283077,0.00980403
F013,12,lithography,lithography-tool-05,false,0.02631854,1461,104,199.96199514,3.29852148,199.88395769,2.58912223
F014,13,lithography,lithography-tool-06,false,,1460,104,0.00000000,0.00000000,0.00000000,0.00000000
F015,14,lithography,lithography-tool-07,false,0.28009675,1460,104,9.05684055,2.79294886,8.28281058,2.73360842
F016,15,lithography,lithography-tool-08,false,0.01465940,1460,104,413.09928973,17.70526622,412.89996538,7.50213682
F017,16,lithography,lithography-tool-01,false,0.01262657,1460,104,9.90609158,2.48268479,9.92881827,0.56180992
F018,17,lithography,lithography-tool-02,false,0.04682400,1460,104,0.97147514,0.01234036,0.97100577,0.00697712
F019,18,lithography,lithography-tool-03,false,0.03683382,1460,104,190.05392288,2.79476212,189.95513077,2.56449928
F020,19,lithography,lithography-tool-04,false,0.16319911,1454,103,12.47925605,0.22479127,12.50613204,0.06090429
F021,20,lithography,lithography-tool-05,false,0.09926019,1463,104,1.40495051,0.01687219,1.40651346,0.01453275
F022,21,lithography,lithography-tool-06,true,0.34723614,1462,103,-5636.43758550,593.59565637,-5362.27427184,945.75371424
F023,22,lithography,lithography-tool-07,false,0.23198563,1462,103,2705.15817373,279.68432207,2617.33980583,456.48466017
F024,23,lithography,lithography-tool-08,false,0.05108786,1462,103,-3811.03556765,1375.17341604,-3739.07847864,1441.04986665
F025,24,lithography,lithography-tool-01,false,0.08067151,1462,103,-284.44151826,2935.24243832,-499.53964078,2367.09728517
F026,25,lithography,lithography-tool-02,false,0.12077754,1462,103,1.20556689,0.17069373,1.17940000,0.25444303
F027,26,lithography,lithography-tool-03,false,0.23033481,1462,103,1.94257544,0.17311802,1.88030000,0.34092403
F028,27,lithography,lithography-tool-04,false,0.10051614,1462,103,6.64831416,1.20631364,6.50114078,1.68298352
F029,28,lithography,lithography-tool-05,true,0.44549732,1462,103,69.59803235,3.45217967,68.10140583,3.26408962
F030,29,lithography,lithography-tool-06,false,0.07124149,1462,103,2.36433297,0.41012333,2.39266214,0.38477219
F031,30,lithography,lithography-tool-07,false,0.15295899,1462,103,0.18383215,0.03297824,0.18879709,0.03193190
F032,31,lithography,lithography-tool-08,false,0.21503875,1462,103,3.68018242,0.54036075,3.57392913,0.44306236
F033,32,lithography,lithography-tool-01,false,0.16917393,1462,104,85.30929938,1.93834624,85.73346442,2.96911402
F034,33,lithography,lithography-tool-02,false,0.22729626,1462,104,8.93126176,1.22616053,9.36818750,2.42627418
F035,34,lithography,lithography-tool-03,false,0.00996270,1462,104,50.58183892,1.17814717,50.59387981,1.23829772
F036,35,lithography,lithography-tool-04,false,0.05656938,1462,104,64.56421758,2.62056825,64.43727308,1.79001163
F037,36,lithography,lithography-tool-05,false,0.00996306,1462,104,49.41817018,1.17814784,49.40612885,1.23829903
F038,37,lithography,lithography-tool-06,false,0.17192851,1462,104,66.21792216,0.30532559,66.26838654,0.28121829
F039,38,lithography,lithography-tool-07,false,0.16596780,1462,104,86.83031081,0.42412333,86.92465865,0.68296226
F040,39,lithography,lithography-tool-08,false,0.00903451,1462,104,118.68057921,1.82127338,118.66514808,1.58670288
F041,40,lithography,lithography-tool-01,false,0.19738573,1439,104,68.23984156,23.83829523,63.27060577,26.44470515
F042,41,lithography,lithography-tool-02,false,0.01237512,1439,104,3.35149187,2.42496162,3.37484904,1.11550368
F043,42,lithography,lithography-tool-03,false,,1462,104,70.00000000,0.00000000,70.00000000,0.00000000
F044,43,lithography,lithography-tool-04,false,0.08558749,1462,104,355.57293194,6.26804332,355.06054327,5.69151673
F045,44,lithography,lithography-tool-05,false,0.09785223,1462,104,10.03224679,0.17619582,10.01595769,0.15613153
F046,45,lithography,lithography-tool-06,false,0.03248049,1462,104,136.72559008,7.80709740,136.98864327,8.38036795
F047,46,lithography,lithography-tool-07,false,0.03873462,1462,104,733.70335684,12.20995162,733.24341442,11.52866398
F048,47,lithography,lithography-tool-08,false,0.11630829,1462,104,1.17653406,0.19027599,1.19797692,0.17825247
F049,48,lithography,lithography-tool-01,false,0.06020100,1462,104,139.99064754,4.50925052,139.71333558,4.70161011
F050,49,lithography,lithography-tool-02,false,,1462,104,1.00000000,0.00000000,1.00000000,0.00000000
F051,50,lithography,lithography-tool-03,false,0.06422837,1462,104,632.28917189,8.70575479,631.76252692,7.66000691
F052,51,lithography,lithography-tool-04,false,0.02345814,1462,104,157.32344672,60.63854798,158.79224327,64.52803900
F053,52,lithography,lithography-tool-05,false,,1462,104,0.00000000,0.00000000,0.00000000,0.00000000
F054,53,lithography,lithography-tool-06,false,0.03238225,1460,103,4.59287260,0.05613654,4.59436893,0.03345305
F055,54,lithography,lithography-tool-07,false,0.06504369,1460,103,4.83829932,0.06060489,4.84168932,0.04195005
F056,55,lithography,lithography-tool-08,false,0.03340604,1460,103,2856.23356164,25.39328133,2855.30097087,30.23045303
F057,56,lithography,lithography-tool-01,false,0.29541162,1460,103,0.92873370,0.00691135,0.93048835,0.00477419
F058,57,lithography,lithography-tool-02,false,0.07692896,1460,103,0.94923678,0.00415597,0.94890680,0.00441894
F059,58,lithography,lithography-tool-03,false,0.23622099,1460,103,4.59204938,0.08550242,4.61120583,0.07643476
F060,59,lithography,lithography-tool-04,true,0.59185593,1456,104,2.56346422,9.30992215,8.51512308,10.75028399
F061,60,lithography,lithography-tool-05,false,0.07593025,1457,104,355.18862855,6.05313029,354.74532692,5.61520250
F062,61,lithography,lithography-tool-06,false,0.04454616,1457,104,10.42222951,0.26933586,10.43593942,0.34190827
F063,62,lithography,lithography-tool-07,false,0.06999971,1457,104,116.54615223,8.49978485,115.88837981,10.21532569
F064,63,lithography,lithography-tool-08,false,0.23238012,1456,104,13.87594107,7.06507469,15.58572981,7.63917024
F065,64,lithography,lithography-tool-01,false,0.24356090,1456,104,20.44029052,4.72775032,21.96756827,7.50264725
F066,65,lithography,lithography-tool-02,false,0.19387212,1456,104,27.02749554,6.94879582,28.59229615,9.05572181
F067,66,lithography,lithography-tool-03,false,0.15433219,1457,104,706.78969039,11.58356990,704.97101250,11.98142572
F068,67,lithography,lithography-tool-04,false,0.10172762,1457,104,13.46825333,271.22808734,62.20732981,620.91453789
F069,68,lithography,lithography-tool-05,false,0.15647524,1457,104,147.49656225,3.96879382,146.61122596,6.94798613
F070,69,lithography,lithography-tool-06,false,,1457,104,1.00000000,0.00000000,1.00000000,0.00000000
F071,70,lithography,lithography-tool-07,false,0.20630375,1457,104,619.23422107,9.50474716,617.24492885,9.77839168
F072,71,lithography,lithography-tool-08,false,0.00751215,1457,104,104.34627962,31.18608310,104.08742115,37.44624554
F073,72,lithography,lithography-tool-01,false,0.03307409,705,68,150.31607674,18.91068839,150.83302500,11.44464797
F074,73,lithography,lithography-tool-02,false,0.09783288,705,68,468.13608156,18.38324357,466.82110000,4.83556727
F075,74,lithography,lithography-tool-03,false,0.03706247,1457,104,0.00287955,0.10987651,0.00000000,0.00000000
F076,75,lithography,lithography-tool-04,false,0.09099495,1439,104,-0.00707054,0.02138577,-0.00458558,0.03215873
F077,76,lithography,lithography-tool-05,false,0.21827259,1439,104,-0.02889340,0.03303912,-0.03626827,0.03451953
F078,77,lithography,lithography-tool-06,false,0.02081847,1439,104,-0.00708707,0.03116914,-0.00640962,0.03385779
F079,78,lithography,lithography-tool-07,false,0.17205153,1439,104,-0.01308284,0.04773987,-0.02138750,0.04879135
F080,79,lithography,lithography-tool-08,false,0.29595808,1439,104,0.00297908,0.02283991,0.01008942,0.02515398
F081,80,lithography,lithography-tool-01,false,0.11445960,1439,104,-0.01812071,0.04853889,-0.02420481,0.05740106
F082,81,lithography,lithography-tool-02,false,0.08930256,1439,104,-0.02126136,0.01686034,-0.01965865,0.01897142
F083,82,lithography,lithography-tool-03,false,0.05235717,1439,104,0.00618061,0.03612682,0.00431538,0.03511611
F084,83,lithography,lithography-tool-04,false,0.09631809,1462,104,7.45543824,0.51420007,7.40466923,0.53968638
F085,84,lithography,lithography-tool-05,false,0.03544193,1451,104,0.13311937,0.00508211,0.13294808,0.00457022
F086,85,lithography,lithography-tool-06,false,0.49134120,215,11,0.11285163,0.00291086,0.11144545,0.00281210
F087,86,lithography,lithography-tool-07,false,0.10555260,1463,104,2.40162303,0.03758129,2.40536731,0.03323133
F088,87,lithography,lithography-tool-08,false,0.08780815,1463,104,0.98252447,0.01187960,0.98095481,0.02231549
F089,88,lithography,lithography-tool-01,false,0.10782831,1463,104,1807.43167348,53.49076145,1813.20769038,53.64272235
F090,89,lithography,lithography-tool-02,false,0.07019989,1413,103,0.18826999,0.04326299,0.19464660,0.12095585
F091,90,lithography,lithography-tool-03,false,0.23543038,1413,103,8833.28951699,400.97241308,8748.61942039,312.89368480
F092,91,lithography,lithography-tool-04,false,0.04119447,1457,104,0.00222073,0.08879118,0.00550962,0.06974504
F093,92,lithography,lithography-tool-05,false,0.03478511,1461,104,0.00051403,0.00325157,0.00040673,0.00290822
F094,93,lithography,lithography-tool-06,false,0.12501560,1461,104,-0.00056550,0.00300728,-0.00018942,0.00300925
F095,94,lithography,lithography-tool-07,false,0.01077791,1457,104,-0.00002903,0.00017598,-0.00003077,0.00014483
F096,95,lithography,lithography-tool-08,false,0.23750806,1457,104,0.00005834,0.00010381,0.00008365,0.00010929
F097,96,lithography,lithography-tool-01,false,0.04226204,1457,104,0.01768813,0.22242480,0.00926058,0.17337054
F098,97,lithography,lithography-tool-02,false,,1457,104,0.00000000,0.00000000,0.00000000,0.00000000
F099,98,lithography,lithography-tool-03,false,0.09317785,1457,104,-0.01578161,0.43359460,-0.05122019,0.31827932
F100,99,etch,etch-tool-04,false,0.13503228,1457,104,0.00076177,0.05812151,0.01244423,0.10766589
F101,100,etch,etch-tool-05,false,0.23700559,1457,104,-0.00002745,0.00034862,0.00006538,0.00043051
F102,101,etch,etch-tool-06,false,0.11567953,1457,104,-0.00000577,0.00022480,-0.00002788,0.00015029
F103,102,etch,etch-tool-07,false,0.16206637,1457,104,0.00184166,0.06217682,-0.00907115,0.07212609
F104,103,etch,etch-tool-08,true,0.57293406,1461,104,-0.00991266,0.00299358,-0.00805288,0.00348027
F105,104,etch,etch-tool-01,false,0.11277823,1461,104,-0.00000582,0.00078791,-0.00013846,0.00146486
F106,105,etch,etch-tool-02,false,0.00196559,1457,104,-0.00049828,0.00322531,-0.00049231,0.00284381
F107,106,etch,etch-tool-03,false,0.11561162,1457,104,0.00056253,0.00298567,0.00021731,0.00298636
F108,107,etch,etch-tool-04,false,0.05866850,1457,104,-0.00140968,0.08685323,-0.00675673,0.09523419
F109,108,etch,etch-tool-05,false,0.00282501,1457,104,-0.01080494,0.08671290,-0.01055962,0.08696849
F110,109,etch,etch-tool-06,false,0.03961870,519,30,0.98000655,0.00892042,0.97975000,0.00207135
F111,110,etch,etch-tool-07,false,0.27568038,519,30,101.29373102,1.90378942,101.74248000,1.29420553
F112,111,etch,etch-tool-08,false,0.60386182,519,30,231.87652274,2.12801810,230.82198333,1.25333385
F113,112,etch,etch-tool-01,false,0.20262999,781,71,0.45692356,0.05100195,0.46429296,0.00664624
F114,113,etch,etch-tool-02,false,0.00550288,1463,104,0.94541989,0.01218419,0.94548462,0.01132404
F115,114,etch,etch-tool-03,false,0.18198513,1463,104,0.00009200,0.00148785,0.00055192,0.00324964
F116,115,etch,etch-tool-04,false,0.17937618,1463,104,747.95332775,49.04523686,739.37195096,46.60383934
F117,116,etch,etch-tool-05,false,0.05331832,1463,104,0.98716261,0.00953144,0.98667019,0.00892966
F118,117,etch,etch-tool-06,false,0.09053643,1463,104,58.65480882,6.70144231,58.21935000,1.16547020
F119,118,etch,etch-tool-07,false,0.09722578,1439,104,0.59846150,0.00817075,0.59772212,0.00699327
F120,119,etch,etch-tool-08,false,0.02484912,1463,104,0.97076370,0.00906581,0.97096538,0.00703958
F121,120,etch,etch-tool-01,false,0.08044279,1463,104,6.31153486,0.12399342,6.30141250,0.12764612
F122,121,etch,etch-tool-02,true,0.35077536,1454,104,15.79416094,0.09961040,15.82807692,0.09367576
F123,122,etch,etch-tool-03,true,0.34684889,1454,104,3.91733563,0.91313311,3.63350962,0.71092444
F124,123,etch,etch-tool-04,false,0.29622569,1454,104,15.82756534,0.10831262,15.85894231,0.10347722
F125,124,etch,etch-tool-05,true,0.37812980,1454,104,15.79183631,0.11359572,15.83480769,0.11368801
F126,125,etch,etch-tool-06,true,0.36964023,1454,104,1.19124828,0.28305552,1.09698077,0.22350640
F127,126,etch,etch-tool-07,false,0.21506832,1454,104,2.74699587,0.25190988,2.80291346,0.26784428
F128,127,etch,etch-tool-08,true,0.33510303,1454,104,0.65119580,0.13694040,0.61047500,0.10382784
F129,128,etch,etch-tool-01,false,0.14757851,1454,104,3.18991678,0.26880786,3.22385577,0.18307640
F130,129,etch,etch-tool-02,true,0.47882217,1454,104,-0.58795942,1.23612840,-0.08264135,0.83633305
F131,130,etch,etch-tool-03,true,0.34604340,1454,104,0.74328026,0.08353821,0.76869038,0.06168816
F132,131,etch,etch-tool-04,false,0.07521771,1454,104,0.99779752,0.00226370,0.99795962,0.00204043
F133,132,etch,etch-tool-05,false,0.00139294,1455,104,2.31853945,0.05273078,2.31861731,0.05888815
F134,133,etch,etch-tool-06,false,0.28694597,1455,104,1003.92462254,6.57011779,1005.70054712,5.78293807
F135,134,etch,etch-tool-07,false,0.12980311,1455,104,39.41640234,3.01308507,39.05027981,2.61397718
F136,135,etch,etch-tool-08,false,0.10835361,1458,104,118.38203018,57.37087373,112.05769231,59.34754660
F137,136,etch,etch-tool-01,false,0.04550867,1457,104,138.03205216,53.92424064,140.47403846,53.39406837
F138,137,etch,etch-tool-02,false,0.12570269,1457,103,122.27824296,52.54627310,128.55922330,47.24702782
F139,138,etch,etch-tool-03,false,0.18428552,1449,104,57.44575459,12.26178694,59.79421923,13.20788779
F140,139,etch,etch-tool-04,false,0.01878333,1449,104,417.10420083,262.44851961,412.06834327,273.63958241
F141,140,etch,etch-tool-05,false,0.07442916,1449,104,27.92675825,524.58107240,0.31838558,0.30657464
F142,141,etch,etch-tool-06,false,,1449,104,0.00000000,0.00000000,0.00000000,0.00000000
F143,142,etch,etch-tool-07,false,0.07434942,1449,104,6.65624569,3.63490571,6.43701923,2.04350372
F144,143,etch,etch-tool-08,false,0.19772294,1454,104,0.00418446,0.00130081,0.00395962,0.00094559
F145,144,etch,etch-tool-01,false,0.15508160,1461,104,0.12063559,0.06133792,0.11119327,0.06043102
F146,145,etch,etch-tool-02,false,0.20819673,1461,104,0.06393231,0.02707190,0.05925385,0.01664437
F147,146,etch,etch-tool-03,false,0.19526447,1461,104,0.05526352,0.02214582,0.05144904,0.01651636
F148,147,etch,etch-tool-04,false,0.04214035,1461,104,0.01735284,0.02795933,0.01822788,0.00898030
F149,148,etch,etch-tool-05,false,0.03039340,1461,104,8.49931759,19.37252742,8.07782596,3.05623722
F150,149,etch,etch-tool-06,false,,1460,104,0.00000000,0.00000000,0.00000000,0.00000000
F151,150,etch,etch-tool-07,false,0.04907714,1460,104,6.82476096,3.24442076,6.66696154,3.18598307
F152,151,etch,etch-tool-08,false,0.12191514,1460,104,14.23282329,32.04812984,11.44438462,4.37844616
F153,152,etch,etch-tool-01,false,0.02526972,1460,104,1.22547233,24.17285873,0.79327981,0.84268236
F154,153,etch,etch-tool-02,false,0.09720349,1460,104,0.01187233,0.00947971,0.01268654,0.00710362
F155,154,etch,etch-tool-03,false,0.00762317,1460,104,7.69578384,5.36509423,7.72867404,2.90613792
F156,155,etch,etch-tool-04,false,0.14444302,1454,103,0.51507290,1.16005626,0.39563107,0.14778408
F157,156,etch,etch-tool-05,false,0.01090375,1463,104,0.05804313,0.08136197,0.05872788,0.03560718
F158,157,etch,etch-tool-06,false,0.26835460,130,8,0.04758692,0.04031064,0.03926250,0.01730787
F159,158,etch,etch-tool-07,false,0.58665819,130,8,1027.45694154,407.78044292,1237.79992500,301.36891400
F160,159,etch,etch-tool-08,false,0.25603904,1462,103,862.27564979,939.72545322,1172.31067961,1431.58084952
F161,160,etch,etch-tool-01,false,0.29596833,1462,103,541.60465116,549.29090186,750.39805825,832.84045885
F162,161,etch,etch-tool-02,false,0.08689069,1462,103,4088.89534884,4292.04057517,3753.94174757,3361.34812248
F163,162,etch,etch-tool-03,false,0.02502843,1462,103,4807.29411765,6609.30854034,4653.23300971,5665.33413475
F164,163,etch,etch-tool-04,false,0.30164342,1462,103,0.13695691,0.11356677,0.18630097,0.20154923
F165,164,etch,etch-tool-05,false,0.25312091,1462,103,0.12227633,0.22278965,0.20836893,0.42630269
F166,165,etch,etch-tool-06,false,0.24107913,1462,103,0.24291997,0.37372067,0.38127184,0.72043218
F167,166,etch,etch-tool-07,false,0.14137678,1462,103,2.77332421,1.00760434,3.00970874,2.13916391
F168,167,etch,etch-tool-08,false,0.07896263,1462,103,1.23201094,0.61701916,1.28932039,0.82024299
F169,168,etch,etch-tool-01,false,0.02871080,1462,103,0.12430301,0.04730903,0.12572816,0.05186244
F170,169,etch,etch-tool-02,false,0.04688312,1462,103,0.40105540,0.19826671,0.39191262,0.19170255
F171,170,etch,etch-tool-03,false,0.14170915,1462,104,0.68279220,0.15635250,0.70595288,0.17022914
F172,171,etch,etch-tool-04,false,0.01419232,1462,104,0.12000896,0.06110244,0.12083942,0.05580764
F173,172,etch,etch-tool-05,false,0.15792119,1462,104,0.31940643,0.07174192,0.33003846,0.06259702
F174,173,etch,etch-tool-06,false,0.03060106,1462,104,0.57637893,0.09625428,0.57356346,0.08755113
F175,174,etch,etch-tool-07,false,0.15800033,1462,104,0.31940629,0.07174578,0.33004423,0.06260047
F176,175,etch,etch-tool-08,false,0.18038501,1462,104,0.77671327,0.11694341,0.79674519,0.10482776
F177,176,etch,etch-tool-01,false,0.05781700,1462,104,0.24500369,0.07494978,0.24069808,0.07398658
F178,177,etch,etch-tool-02,false,0.01466539,1462,104,0.39503352,0.28309663,0.39091346,0.27876110
F179,178,etch,etch-tool-03,false,,1439,104,0.00000000,0.00000000,0.00000000,0.00000000
F180,179,etch,etch-tool-04,false,,1462,104,0.00000000,0.00000000,0.00000000,0.00000000
F181,180,etch,etch-tool-05,true,0.34148036,1462,104,19.08270178,3.33529025,18.03701923,2.76225029
F182,181,etch,etch-tool-06,false,0.18625650,1462,104,0.54936320,0.22625594,0.51031731,0.19157757
F183,182,etch,etch-tool-07,false,0.14178632,1462,104,10.81525992,4.22856025,10.29250000,3.05066630
F184,183,etch,etch-tool-08,false,0.23407616,1462,104,26.55982408,6.86870904,28.08586538,6.15033082
F185,184,etch,etch-tool-01,false,0.01511735,1462,104,0.14472189,0.11253487,0.14613077,0.06860773
F186,185,etch,etch-tool-02,false,0.04699989,1462,104,7.38299590,7.40737879,7.12317308,2.50035892
F187,186,etch,etch-tool-03,false,,1462,104,0.00000000,0.00000000,0.00000000,0.00000000
F188,187,etch,etch-tool-04,false,0.02855913,1462,104,17.92319419,8.83886136,18.12038462,4.15000508
